ALogP,nHBAcc,LipinskiFailures,Label
-0.4256000000000011,0.0,1.0,1
4.6333,1.0,0.0,1
2.9254,0.0,0.0,1
0.7443,0.0,1.0,1
1.9813000000000005,1.0,0.0,1
4.5014,3.0,1.0,1
2.9772,0.0,1.0,1
4.1609,0.0,0.0,1
2.9589999999999987,0.0,1.0,1
-1.5040000000000022,0.0,1.0,1
1.3345,0.0,0.0,1
-0.6398000000000014,1.0,1.0,1
1.5559999999999996,0.0,1.0,1
2.8231,0.0,1.0,1
2.9772,0.0,1.0,1
4.9415,0.0,0.0,1
1.8858,0.0,1.0,1
1.3345,0.0,1.0,1
2.0788,0.0,1.0,1
2.8231,0.0,1.0,1
2.8231,0.0,0.0,1
2.3812000000000006,0.0,0.0,1
0.0,0.0,1.0,1
5.739599999999999,0.0,1.0,1
2.663900000000001,5.0,0.0,1
5.85,0.0,1.0,1
1.6600000000000017,1.0,1.0,1
2.0058,2.0,0.0,1
3.571599999999999,3.0,0.0,1
2.2055999999999987,3.0,1.0,1
0.8306999999999993,3.0,1.0,1
0.0366,1.0,2.0,1
3.4044,2.0,1.0,1
3.135699999999999,2.0,1.0,1
0.8419000000000001,3.0,1.0,1
0.0,0.0,1.0,1
3.1425,0.0,1.0,1
0.6420000000000001,0.0,1.0,1
3.7215,0.0,0.0,1
1.7401999999999995,0.0,1.0,1
-0.433899999999999,0.0,1.0,1
2.1293,0.0,0.0,1
0.4067999999999987,0.0,1.0,1
2.9772,0.0,1.0,1
3.7215,0.0,1.0,1
2.8231,0.0,1.0,1
2.8231,0.0,1.0,1
0.5564999999999993,0.0,1.0,1
0.8048999999999994,3.0,1.0,1
1.1458000000000002,0.0,1.0,1
5.4846,3.0,1.0,1
0.3570999999999993,3.0,2.0,1
