ALogP,LipinskiFailures,TopoPSA,Label
-0.0517999999999998,0.0,38.66,0
-1.153100000000001,0.0,41.13,0
0.2693999999999994,0.0,41.57,0
3.3824,0.0,69.59,0
-1.5958,0.0,110.28,0
0.8129999999999984,0.0,93.11,0
0.4402999999999997,0.0,86.52000000000001,0
0.6396000000000008,0.0,125.04000000000002,0
1.721200000000003,0.0,45.61,0
2.2792,0.0,105.97,0
0.315699999999999,0.0,96.3,0
-0.1401999999999993,1.0,29.540000000000003,0
-2.0801,0.0,0.0,0
-1.5190999999999997,0.0,74.86,0
0.622700000000001,1.0,98.69,0
2.4774000000000003,0.0,63.25,0
0.8004,0.0,70.21000000000001,0
1.9442999999999988,0.0,38.33,0
0.6009,0.0,41.46,0
-3.814400000000002,2.0,0.0,0
0.3013000000000003,1.0,57.53,0
2.387000000000001,0.0,115.54,0
0.9732000000000008,0.0,63.63,0
2.8753,0.0,54.57000000000001,0
0.0067999999999992,0.0,90.51,0
1.026600000000001,0.0,98.69,0
-0.5038999999999993,0.0,46.5,0
0.8792999999999994,0.0,103.84,0
0.9669,0.0,104.60000000000002,0
-0.5745,0.0,41.82,0
3.167300000000001,0.0,41.900000000000006,0
-1.9446,0.0,67.81,0
1.2458,0.0,58.43,0
2.0334000000000003,0.0,57.010000000000005,0
2.410799999999999,0.0,54.57000000000001,0
2.1432,0.0,46.61000000000001,0
0.5279000000000001,0.0,83.60000000000001,0
1.0368,1.0,60.17,0
1.4266,0.0,59.42,0
4.1335000000000015,1.0,171.32,0
1.9122,0.0,55.24,0
0.2435999999999998,0.0,57.61,0
0.8450999999999995,0.0,62.73,0
-0.0939000000000001,1.0,17.07,0
1.2483999999999995,0.0,49.17,0
2.0776000000000003,1.0,67.43,0
-0.3090999999999999,0.0,131.55,0
0.9398999999999996,0.0,29.1,0
0.5893999999999996,1.0,46.61,0
1.3907,0.0,123.99,0
0.5496999999999993,0.0,140.21000000000004,0
0.9911,0.0,0.0,0
0.8637000000000004,0.0,38.8,0
0.3766999999999996,0.0,45.61,0
0.5919000000000001,0.0,70.54,0
0.3348000000000031,0.0,59.08,0
-0.5415000000000002,0.0,46.53,0
-4.5528,0.0,195.53,0
0.4990999999999995,0.0,50.94,0
-3.2209999999999974,2.0,12.47,0
-0.4399999999999992,0.0,140.78,0
2.6562,0.0,58.2,0
1.6792000000000005,1.0,122.03999999999998,0
0.2570000000000002,0.0,88.03,0
0.1526999999999974,0.0,63.22000000000001,0
1.2488,0.0,50.19,0
-0.5276,0.0,34.14,0
0.3446999999999993,0.0,127.45000000000002,0
0.3654000000000005,0.0,56.790000000000006,0
-0.4603,1.0,20.23,0
1.1879000000000006,1.0,76.43,0
0.7906000000000001,0.0,46.53,0
0.898800000000001,0.0,86.71,0
0.1655999999999999,1.0,45.400000000000006,0
0.8913000000000014,0.0,81.03,0
0.7848000000000004,0.0,39.41,0
-0.3695000000000001,0.0,0.0,0
1.6372,0.0,46.53,0
2.4651,0.0,29.46,0
1.7207999999999997,0.0,29.46,0
1.7207999999999997,0.0,29.46,0
0.9764999999999996,0.0,29.46,0
-0.7988000000000003,0.0,100.88,0
1.1215000000000006,0.0,80.28,0
1.7332,0.0,46.53,0
-0.3226000000000002,0.0,53.93,0
0.5906,0.0,41.13,0
0.6946000000000006,1.0,96.65000000000002,0
2.1659000000000006,0.0,112.73000000000002,0
-0.4263,0.0,38.33,0
1.6172,0.0,0.0,0
-0.5895000000000004,0.0,23.06,0
-0.4991000000000004,0.0,20.31,0
1.2844,0.0,0.0,0
1.6514,0.0,64.18,0
1.688,0.0,0.0,0
0.5732999999999988,0.0,20.23,0
1.3163999999999996,0.0,37.3,0
0.8989,0.0,37.3,0
0.6002000000000003,0.0,43.14,0
-1.2775,0.0,60.16,0
-1.0018,0.0,82.98,0
-0.6837000000000002,1.0,52.60000000000001,0
-0.1137999999999999,0.0,32.67,0
0.4561999999999999,1.0,0.0,0
3.2612,0.0,20.23,0
1.5200000000000005,0.0,149.65,0
0.6545000000000001,0.0,69.16,0
-0.7001000000000001,0.0,57.53,0
1.0282999999999998,0.0,20.23,0
0.8629,0.0,105.89,0
0.6601000000000001,0.0,43.14,0
1.3021000000000005,0.0,43.14,0
-0.0897999999999998,0.0,69.16,0
0.6083000000000001,0.0,52.370000000000005,0
1.3202000000000005,0.0,86.28,0
-0.4795999999999999,0.0,87.49,0
1.4427999999999996,0.0,0.0,0
0.7075,0.0,12.89,0
-1.0436,0.0,52.04,0
1.7776,0.0,0.0,0
1.3863,0.0,0.0,0
-0.0056,0.0,26.02,0
1.4634000000000005,0.0,0.0,0
-0.0056,0.0,26.02,0
1.3595000000000004,0.0,9.23,0
0.7443,0.0,0.0,0
-2.7774,1.0,0.0,0
-1.2775,0.0,60.16,0
-1.5433,0.0,145.73,0
2.5025000000000004,0.0,43.14,0
1.2603000000000004,0.0,99.02,0
0.2335999999999999,0.0,20.23,0
1.0712999999999997,0.0,3.24,0
0.4203000000000001,0.0,80.44,0
-1.3301999999999998,0.0,63.93000000000001,0
0.1642000000000005,0.0,62.73,0
